59000 -18.082892  54259  4741  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
60000 -17.599617  55186  4814  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
61000 -17.799011  56097  4903  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
62000 -17.864668  57033  4967  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
63000 -18.221421  57940  5060  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
64000 -17.575004  58852  5148  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
65000 -18.335549  59771  5229  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
66000 -16.919952  60686  5314  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
67000 -17.145127  61576  5424  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
68000 -16.941511  62495  5505  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
69000 -17.202495  63409  5591  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
70000 -16.743094  64343  5657  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
71000 -17.127940  65273  5727  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
72000 -16.546004  66204  5796  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
73000 -17.057820  67138  5862  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
74000 -17.240309  68087  5913  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
75000 -17.852918  69004  5996  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
76000 -18.039432  69923  6077  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
77000 -17.877161  70853  6147  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
78000 -17.906671  71794  6206  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
79000 -17.623957  72713  6287  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
80000 -18.097614  73649  6351  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
81000 -18.442245  74568  6432  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
82000 -19.462009  75474  6526  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
83000 -19.012265  76392  6608  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
84000 -18.890008  77316  6684  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
85000 -18.920875  78234  6766  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
86000 -18.972979  79145  6855  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
87000 -19.452095  80075  6925  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
88000 -19.002162  81002  6998  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
89000 -19.933600  81927  7073  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
90000 -20.351217  82850  7150  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
91000 -19.409417  83785  7215  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
92000 -19.366652  84690  7310  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
93000 -19.788533  85624  7376  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
94000 -19.913063  86552  7448  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
95000 -19.875968  87467  7533  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
96000 -20.941156  88385  7615  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
97000 -20.889925  89314  7686  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
98000 -21.273079  90230  7770  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
99000 -20.396246  91128  7872  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
100000 -21.368142  92026  7974  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
101000 -22.078629  92935  8065  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
102000 -21.504913  93876  8124  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
103000 -21.299745  94781  8219  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
104000 -20.337690  95686  8314  Density = 1052.006361 kg/m^3  Acceptance Ratio= 92/100 
105000 -21.231691  96586  8414  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
106000 -19.687190  97484  8516  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
107000 -21.405148  98370  8630  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
108000 -21.882194  99273  8727  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
109000 -21.715617  100168  8832  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
110000 -20.516904  101065  8935  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
111000 -20.513092  101969  9031  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
112000 -20.083007  102844  9156  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
113000 -21.235278  103739  9261  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
114000 -20.879899  104647  9353  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
115000 -21.149929  105557  9443  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
116000 -19.843924  106431  9569  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
117000 -21.217787  107323  9677  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
118000 -21.749456  108223  9777  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
119000 -21.332357  109136  9864  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
120000 -22.359665  110054  9946  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
121000 -21.545144  110979  10021  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
122000 -20.678415  111902  10098  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
123000 -20.920413  112821  10179  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
124000 -21.093339  113727  10273  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
